date,time,home_team,away_team,home_score,away_score,home_pens,away_pens,tournament,season,phase,group,matchday,venue,neutral,source
2011-02-11,19:00,Estudiantes (LP),Newell's Old Boys,2,1,,,Primera Division - Clausura,2011,zonas,,Fecha 1,Centenario,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-02-11,21:10,Independiente,Vélez Sarsfield,2,2,,,Primera Division - Clausura,2011,zonas,,Fecha 1,Libertadores de América,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-02-12,17:00,Olimpo,Banfield,2,1,,,Primera Division - Clausura,2011,zonas,,Fecha 1,Roberto N. Carminatti,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-02-12,19:10,San Lorenzo,Gimnasia y Esgrima (LP),1,1,,,Primera Division - Clausura,2011,zonas,,Fecha 1,Nuevo Gasómetro,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-02-12,21:15,Colón,Quilmes,2,0,,,Primera Division - Clausura,2011,zonas,,Fecha 1,Brigadier Estanislao López,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-02-13,17:00,All Boys,Racing Club,0,1,,,Primera Division - Clausura,2011,zonas,,Fecha 1,Islas Malvinas,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-02-13,19:10,Boca Juniors,Godoy Cruz,1,4,,,Primera Division - Clausura,2011,zonas,,Fecha 1,La Bombonera,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-02-13,21:15,Tigre,River Plate,0,0,,,Primera Division - Clausura,2011,zonas,,Fecha 1,Monumental de Victoria,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-02-14,19:00,Lanús,Arsenal,3,1,,,Primera Division - Clausura,2011,zonas,,Fecha 1,Ciudad de Lanús,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-02-14,21:10,Huracán,Argentinos Juniors,1,1,,,Primera Division - Clausura,2011,zonas,,Fecha 1,Tomás A. Ducó,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-02-18,19:00,Gimnasia y Esgrima (LP),Olimpo,1,3,,,Primera Division - Clausura,2011,zonas,,Fecha 2,Juan Carmelo Zerillo,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-02-18,21:10,Banfield,Colón,1,1,,,Primera Division - Clausura,2011,zonas,,Fecha 2,Florencio Sola,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-02-19,19:10,Argentinos Juniors,Independiente,0,0,,,Primera Division - Clausura,2011,zonas,,Fecha 2,Diego Armando Maradona,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-02-19,19:10,Newell's Old Boys,Lanús,2,1,,,Primera Division - Clausura,2011,zonas,,Fecha 2,Marcelo Bielsa,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-02-19,21:15,Racing Club,Boca Juniors,0,1,,,Primera Division - Clausura,2011,zonas,,Fecha 2,El Cilindro,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-02-19,21:15,Vélez Sarsfield,All Boys,1,2,,,Primera Division - Clausura,2011,zonas,,Fecha 2,José Amalfitani,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-02-20,17:00,Quilmes,Estudiantes (LP),0,1,,,Primera Division - Clausura,2011,zonas,,Fecha 2,Centenario,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-02-20,19:10,River Plate,Huracán,2,0,,,Primera Division - Clausura,2011,zonas,,Fecha 2,Monumental,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-02-21,19:00,Arsenal,Tigre,2,0,,,Primera Division - Clausura,2011,zonas,,Fecha 2,El Viaducto,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-02-21,21:10,Godoy Cruz,San Lorenzo,0,2,,,Primera Division - Clausura,2011,zonas,,Fecha 2,Malvinas Argentinas,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-02-25,19:10,Colón,Gimnasia y Esgrima (LP),1,3,,,Primera Division - Clausura,2011,zonas,,Fecha 3,Brigadier Estanislao López,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-02-25,19:10,Olimpo,Godoy Cruz,3,3,,,Primera Division - Clausura,2011,zonas,,Fecha 3,Roberto N. Carminatti,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-02-26,17:00,Lanús,Quilmes,2,1,,,Primera Division - Clausura,2011,zonas,,Fecha 3,Ciudad de Lanús,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-02-26,19:10,San Lorenzo,Racing Club,1,2,,,Primera Division - Clausura,2011,zonas,,Fecha 3,Nuevo Gasómetro,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-02-26,21:15,Boca Juniors,All Boys,0,0,,,Primera Division - Clausura,2011,zonas,,Fecha 3,La Bombonera,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-02-27,17:00,Estudiantes (LP),Banfield,0,1,,,Primera Division - Clausura,2011,zonas,,Fecha 3,Ciudad de La Plata,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-02-27,18:00,Argentinos Juniors,Vélez Sarsfield,1,1,,,Primera Division - Clausura,2011,zonas,,Fecha 3,Diego Armando Maradona,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-02-27,20:10,Independiente,River Plate,0,1,,,Primera Division - Clausura,2011,zonas,,Fecha 3,Libertadores de América,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-02-28,19:10,Huracán,Arsenal,1,1,,,Primera Division - Clausura,2011,zonas,,Fecha 3,Tomás A. Ducó,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-02-28,21:15,Tigre,Newell's Old Boys,1,0,,,Primera Division - Clausura,2011,zonas,,Fecha 3,Monumental de Victoria,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-03-04,19:10,All Boys,San Lorenzo,0,3,,,Primera Division - Clausura,2011,zonas,,Fecha 4,Islas Malvinas,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-03-05,17:00,Gimnasia y Esgrima (LP),Estudiantes (LP),0,2,,,Primera Division - Clausura,2011,zonas,,Fecha 4,Ciudad de La Plata,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-03-05,19:10,Newell's Old Boys,Huracán,3,3,,,Primera Division - Clausura,2011,zonas,,Fecha 4,Marcelo Bielsa,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-03-05,21:15,Racing Club,Olimpo,4,3,,,Primera Division - Clausura,2011,zonas,,Fecha 4,El Cilindro,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-03-06,17:00,Banfield,Lanús,2,1,,,Primera Division - Clausura,2011,zonas,,Fecha 4,Florencio Sola,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-03-06,17:00,Godoy Cruz,Colón,2,3,,,Primera Division - Clausura,2011,zonas,,Fecha 4,Malvinas Argentinas,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-03-06,19:10,Quilmes,Tigre,1,2,,,Primera Division - Clausura,2011,zonas,,Fecha 4,Centenario,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-03-06,19:10,River Plate,Argentinos Juniors,0,0,,,Primera Division - Clausura,2011,zonas,,Fecha 4,Monumental,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-03-06,21:15,Vélez Sarsfield,Boca Juniors,1,0,,,Primera Division - Clausura,2011,zonas,,Fecha 4,José Amalfitani,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-03-07,20:10,Arsenal,Independiente,3,0,,,Primera Division - Clausura,2011,zonas,,Fecha 4,El Viaducto,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-03-11,21:15,Olimpo,All Boys,1,0,,,Primera Division - Clausura,2011,zonas,,Fecha 5,Roberto N. Carminatti,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-03-11,21:15,Tigre,Banfield,1,2,,,Primera Division - Clausura,2011,zonas,,Fecha 5,Monumental de Victoria,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-03-12,17:00,Lanús,Gimnasia y Esgrima (LP),0,0,,,Primera Division - Clausura,2011,zonas,,Fecha 5,Ciudad de Lanús,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-03-12,19:10,Argentinos Juniors,Arsenal,1,0,,,Primera Division - Clausura,2011,zonas,,Fecha 5,Diego Armando Maradona,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-03-12,19:10,San Lorenzo,Boca Juniors,1,0,,,Primera Division - Clausura,2011,zonas,,Fecha 5,Nuevo Gasómetro,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-03-13,17:00,Estudiantes (LP),Godoy Cruz,0,1,,,Primera Division - Clausura,2011,zonas,,Fecha 5,Ciudad de La Plata,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-03-13,19:10,Colón,Racing Club,0,4,,,Primera Division - Clausura,2011,zonas,,Fecha 5,Brigadier Estanislao López,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-03-13,19:10,River Plate,Vélez Sarsfield,1,2,,,Primera Division - Clausura,2011,zonas,,Fecha 5,Monumental,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-03-14,19:10,Huracán,Quilmes,2,1,,,Primera Division - Clausura,2011,zonas,,Fecha 5,Tomás A. Ducó,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-03-14,21:15,Independiente,Newell's Old Boys,4,0,,,Primera Division - Clausura,2011,zonas,,Fecha 5,Libertadores de América,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-03-19,14:00,Quilmes,Independiente,1,1,,,Primera Division - Clausura,2011,zonas,,Fecha 6,Centenario,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-03-19,16:10,Godoy Cruz,Lanús,2,0,,,Primera Division - Clausura,2011,zonas,,Fecha 6,Malvinas Argentinas,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-03-19,18:20,All Boys,Colón,0,2,,,Primera Division - Clausura,2011,zonas,,Fecha 6,Islas Malvinas,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-03-19,19:10,Arsenal,River Plate,1,1,,,Primera Division - Clausura,2011,zonas,,Fecha 6,El Viaducto,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-03-20,14:00,Newell's Old Boys,Argentinos Juniors,0,2,,,Primera Division - Clausura,2011,zonas,,Fecha 6,Marcelo Bielsa,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-03-20,16:00,Vélez Sarsfield,San Lorenzo,2,0,,,Primera Division - Clausura,2011,zonas,,Fecha 6,José Amalfitani,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-03-20,18:10,Racing Club,Estudiantes (LP),0,1,,,Primera Division - Clausura,2011,zonas,,Fecha 6,El Cilindro,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-03-20,20:15,Boca Juniors,Olimpo,0,2,,,Primera Division - Clausura,2011,zonas,,Fecha 6,La Bombonera,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-03-21,19:10,Gimnasia y Esgrima (LP),Tigre,2,1,,,Primera Division - Clausura,2011,zonas,,Fecha 6,Juan Carmelo Zerillo,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-03-21,21:15,Banfield,Huracán,2,2,,,Primera Division - Clausura,2011,zonas,,Fecha 6,Florencio Sola,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-03-25,19:10,Argentinos Juniors,Quilmes,0,0,,,Primera Division - Clausura,2011,zonas,,Fecha 7,Diego Armando Maradona,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-03-25,21:15,Estudiantes (LP),All Boys,3,0,,,Primera Division - Clausura,2011,zonas,,Fecha 7,El Cilindro,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-03-26,14:00,Huracán,Gimnasia y Esgrima (LP),2,0,,,Primera Division - Clausura,2011,zonas,,Fecha 7,Tomás A. Ducó,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-03-26,16:00,Olimpo,San Lorenzo,0,1,,,Primera Division - Clausura,2011,zonas,,Fecha 7,Roberto N. Carminatti,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-03-26,18:00,Lanús,Racing Club,4,1,,,Primera Division - Clausura,2011,zonas,,Fecha 7,Ciudad de Lanús,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-03-26,18:00,River Plate,Newell's Old Boys,2,1,,,Primera Division - Clausura,2011,zonas,,Fecha 7,Monumental,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-03-27,14.00,Tigre,Godoy Cruz,2,2,,,Primera Division - Clausura,2011,zonas,,Fecha 7,Monumental de Victoria,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-03-27,16:00,Independiente,Banfield,1,1,,,Primera Division - Clausura,2011,zonas,,Fecha 7,Libertadores de América,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-03-27,18:15,Colón,Boca Juniors,0,1,,,Primera Division - Clausura,2011,zonas,,Fecha 7,Brigadier Estanislao López,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-03-27,18:15,Vélez Sarsfield,Arsenal,3,0,,,Primera Division - Clausura,2011,zonas,,Fecha 7,José Amalfitani,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-04-01,19:10,Gimnasia y Esgrima (LP),Independiente,1,2,,,Primera Division - Clausura,2011,zonas,,Fecha 8,Juan Carmelo Zerillo,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-04-01,21:15,Banfield,Argentinos Juniors,0,2,,,Primera Division - Clausura,2011,zonas,,Fecha 8,Florencio Sola,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-04-02,14:00,All Boys,Lanús,0,0,,,Primera Division - Clausura,2011,zonas,,Fecha 8,Islas Malvinas,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-04-02,16:10,Olimpo,Vélez Sarsfield,1,2,,,Primera Division - Clausura,2011,zonas,,Fecha 8,Roberto N. Carminatti,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-04-02,18:20,Newell's Old Boys,Arsenal,2,2,,,Primera Division - Clausura,2011,zonas,,Fecha 8,Marcelo Bielsa,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-04-02,20:20,Racing Club,Tigre,1,2,,,Primera Division - Clausura,2011,zonas,,Fecha 8,El Cilindro,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-04-03,14:00,Godoy Cruz,Huracán,3,1,,,Primera Division - Clausura,2011,zonas,,Fecha 8,Malvinas Argentinas,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-04-03,16:00,Quilmes,River Plate,0,1,,,Primera Division - Clausura,2011,zonas,,Fecha 8,Centenario,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-04-03,16:00,San Lorenzo,Colón,1,2,,,Primera Division - Clausura,2011,zonas,,Fecha 8,Nuevo Gasómetro,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-04-03,18:15,Boca Juniors,Estudiantes (LP),2,1,,,Primera Division - Clausura,2011,zonas,,Fecha 8,La Bombonera,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-04-08,19:10,Estudiantes (LP),San Lorenzo,0,0,,,Primera Division - Clausura,2011,zonas,,Fecha 9,Centenario,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-04-08,21:30,Independiente,Godoy Cruz,3,0,,,Primera Division - Clausura,2011,zonas,,Fecha 9,Libertadores de América,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-04-09,14:00,Colón,Olimpo,0,2,,,Primera Division - Clausura,2011,zonas,,Fecha 9,Brigadier Estanislao López,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-04-09,16:10,Arsenal,Quilmes,2,2,,,Primera Division - Clausura,2011,zonas,,Fecha 9,El Viaducto,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-04-09,18:20,Huracán,Racing Club,0,0,,,Primera Division - Clausura,2011,zonas,,Fecha 9,Tomás A. Ducó,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
2011-04-09,20:20,River Plate,Banfield,1,0,,,Primera Division - Clausura,2011,zonas,,Fecha 9,Monumental,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2011_(Argentina)
