date,time,home_team,away_team,home_score,away_score,home_pens,away_pens,tournament,season,phase,group,matchday,venue,neutral,source
2005-02-11,19:00,Olimpo,San Lorenzo,3,0,,,Primera Division - Clausura,2005,zonas,,Fecha 1,Roberto N. Carminatti,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2005_(Argentina)
2005-02-11,20:00,Banfield,Instituto,1,0,,,Primera Division - Clausura,2005,zonas,,Fecha 1,Florencio Sola,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2005_(Argentina)
2005-02-11,21:10,Argentinos Juniors,Racing Club,1,0,,,Primera Division - Clausura,2005,zonas,,Fecha 1,Diego Armando Maradona,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2005_(Argentina)
2005-02-12,18:20,Gimnasia y Esgrima (LP),Almagro,2,1,,,Primera Division - Clausura,2005,zonas,,Fecha 1,Juan Carmelo Zerillo,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2005_(Argentina)
2005-02-12,21:10,Vélez Sarsfield,Newell's Old Boys,0,0,,,Primera Division - Clausura,2005,zonas,,Fecha 1,Tomás A. Ducó,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2005_(Argentina)
2005-02-13,17:00,Independiente,Quilmes,0,0,,,Primera Division - Clausura,2005,zonas,,Fecha 1,La Doble Visera,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2005_(Argentina)
2005-02-13,17:00,Rosario Central,Arsenal,2,1,,,Primera Division - Clausura,2005,zonas,,Fecha 1,Gigante de Arroyito,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2005_(Argentina)
2005-02-13,17:10,Boca Juniors,Lanús,2,2,,,Primera Division - Clausura,2005,zonas,,Fecha 1,La Bombonera,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2005_(Argentina)
2005-02-13,18:00,Huracán (TA),Estudiantes (LP),0,1,,,Primera Division - Clausura,2005,zonas,,Fecha 1,José María Minella,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2005_(Argentina)
2005-02-13,19:30,Colón,River Plate,2,3,,,Primera Division - Clausura,2005,zonas,,Fecha 1,Brigadier Estanislao López,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2005_(Argentina)
2005-02-18,19:00,Racing Club,Olimpo,2,0,,,Primera Division - Clausura,2005,zonas,,Fecha 2,El Cilindro,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2005_(Argentina)
