date,time,home_team,away_team,home_score,away_score,home_pens,away_pens,tournament,season,phase,group,matchday,venue,neutral,source
2008-02-08,19:00,San Lorenzo,Newell's Old Boys,0,2,,,Primera Division - Clausura,2008,zonas,,Fecha 1,Nuevo Gasómetro,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
2008-02-08,21:15,Estudiantes (LP),Banfield,2,1,,,Primera Division - Clausura,2008,zonas,,Fecha 1,Ciudad de La Plata,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
2008-02-09,17:10,San Martín (SJ),Argentinos Juniors,2,0,,,Primera Division - Clausura,2008,zonas,,Fecha 1,Ingeniero Hilario Sánchez,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
2008-02-09,19:20,Tigre,Gimnasia y Esgrima (LP),2,1,,,Primera Division - Clausura,2008,zonas,,Fecha 1,Monumental de Victoria,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
2008-02-09,19:20,Vélez Sarsfield,Colón,4,3,,,Primera Division - Clausura,2008,zonas,,Fecha 1,José Amalfitani,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
2008-02-09,21:30,Racing Club,Olimpo,1,1,,,Primera Division - Clausura,2008,zonas,,Fecha 1,El Cilindro,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
2008-02-10,17:10,Lanús,Independiente,1,0,,,Primera Division - Clausura,2008,zonas,,Fecha 1,Ciudad de Lanús,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
2008-02-10,17:10,Rosario Central,Boca Juniors,1,1,,,Primera Division - Clausura,2008,zonas,,Fecha 1,Gigante de Arroyito,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
2008-02-10,19:30,Arsenal,Huracán,2,0,,,Primera Division - Clausura,2008,zonas,,Fecha 1,El Viaducto,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
2008-02-10,19:40,River Plate,Gimnasia y Esgrima (J),2,0,,,Primera Division - Clausura,2008,zonas,,Fecha 1,Monumental,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
2008-02-15,19:00,Banfield,Racing Club,3,1,,,Primera Division - Clausura,2008,zonas,,Fecha 2,Florencio Sola,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
2008-02-15,21:15,Colón,Arsenal,3,0,,,Primera Division - Clausura,2008,zonas,,Fecha 2,Brigadier Estanislao López,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
2008-02-16,17:10,Gimnasia y Esgrima (LP),Rosario Central,2,0,,,Primera Division - Clausura,2008,zonas,,Fecha 2,Ciudad de La Plata,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
2008-02-16,19:20,Gimnasia y Esgrima (J),Estudiantes (LP),1,2,,,Primera Division - Clausura,2008,zonas,,Fecha 2,23 de Agosto,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
2008-02-16,19:20,San Lorenzo,San Martín (SJ),0,1,,,Primera Division - Clausura,2008,zonas,,Fecha 2,Nuevo Gasómetro,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
2008-02-16,21:30,Independiente,Tigre,4,1,,,Primera Division - Clausura,2008,zonas,,Fecha 2,El Cilindro,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
2008-02-16,21:30,Olimpo,Vélez Sarsfield,0,2,,,Primera Division - Clausura,2008,zonas,,Fecha 2,Roberto N. Carminatti,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
2008-02-17,17:10,Huracán,Lanús,1,0,,,Primera Division - Clausura,2008,zonas,,Fecha 2,Diego Armando Maradona,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
2008-02-17,17:10,Newell's Old Boys,River Plate,0,0,,,Primera Division - Clausura,2008,zonas,,Fecha 2,Coloso del Parque,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
2008-02-17,19:30,Boca Juniors,Argentinos Juniors,4,0,,,Primera Division - Clausura,2008,zonas,,Fecha 2,La Bombonera,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
2008-02-22,19:00,Estudiantes (LP),Newell's Old Boys,5,2,,,Primera Division - Clausura,2008,zonas,,Fecha 3,Ciudad de La Plata,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
2008-02-22,21:15,Lanús,Colón,5,1,,,Primera Division - Clausura,2008,zonas,,Fecha 3,Ciudad de Lanús,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
2008-02-23,17:10,Racing Club,Gimnasia y Esgrima (J),0,0,,,Primera Division - Clausura,2008,zonas,,Fecha 3,El Cilindro,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
2008-02-23,19:20,Argentinos Juniors,Gimnasia y Esgrima (LP),2,0,,,Primera Division - Clausura,2008,zonas,,Fecha 3,Diego Armando Maradona,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
2008-02-23,19:20,Vélez Sarsfield,Banfield,3,0,,,Primera Division - Clausura,2008,zonas,,Fecha 3,José Amalfitani,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
2008-02-23,21:30,Rosario Central,Independiente,2,0,,,Primera Division - Clausura,2008,zonas,,Fecha 3,Gigante de Arroyito,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
2008-02-23,21:30,Tigre,Huracán,1,2,,,Primera Division - Clausura,2008,zonas,,Fecha 3,Monumental de Victoria,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
2008-02-24,17:10,River Plate,San Lorenzo,2,0,,,Primera Division - Clausura,2008,zonas,,Fecha 3,Monumental,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
2008-02-24,19:30,Arsenal,Olimpo,1,0,,,Primera Division - Clausura,2008,zonas,,Fecha 3,El Viaducto,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
2008-02-24,19:30,San Martín (SJ),Boca Juniors,0,2,,,Primera Division - Clausura,2008,zonas,,Fecha 3,Ingeniero Hilario Sánchez,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
2008-02-29,19:00,Huracán,Rosario Central,1,1,,,Primera Division - Clausura,2008,zonas,,Fecha 4,Diego Armando Maradona,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
2008-02-29,21:15,Banfield,Arsenal,1,3,,,Primera Division - Clausura,2008,zonas,,Fecha 4,Florencio Sola,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
2008-03-01,17:10,Colón,Tigre,1,2,,,Primera Division - Clausura,2008,zonas,,Fecha 4,Brigadier Estanislao López,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
2008-03-01,19:20,Gimnasia y Esgrima (J),Vélez Sarsfield,0,0,,,Primera Division - Clausura,2008,zonas,,Fecha 4,23 de Agosto,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
2008-03-01,19:20,Independiente,Argentinos Juniors,2,0,,,Primera Division - Clausura,2008,zonas,,Fecha 4,El Cilindro,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
2008-03-01,21:30,Olimpo,Lanús,3,2,,,Primera Division - Clausura,2008,zonas,,Fecha 4,Roberto N. Carminatti,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
2008-03-01,21:30,San Lorenzo,Estudiantes (LP),3,1,,,Primera Division - Clausura,2008,zonas,,Fecha 4,Nuevo Gasómetro,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
2008-03-02,17:10,Newell's Old Boys,Racing Club,1,0,,,Primera Division - Clausura,2008,zonas,,Fecha 4,Coloso del Parque,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
2008-03-02,17:10,River Plate,San Martín (SJ),3,2,,,Primera Division - Clausura,2008,zonas,,Fecha 4,Monumental,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
2008-03-02,19:30,Gimnasia y Esgrima (LP),Boca Juniors,0,1,,,Primera Division - Clausura,2008,zonas,,Fecha 4,Ciudad de La Plata,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
2008-03-07,18:00,Racing Club,San Lorenzo,0,1,,,Primera Division - Clausura,2008,zonas,,Fecha 5,El Cilindro,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
2008-03-07,20:15,Rosario Central,Colón,0,0,,,Primera Division - Clausura,2008,zonas,,Fecha 5,Gigante de Arroyito,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
2008-03-08,17:10,Lanús,Banfield,0,5,,,Primera Division - Clausura,2008,zonas,,Fecha 5,Ciudad de Lanús,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
2008-03-08,19:20,Argentinos Juniors,Huracán,1,1,,,Primera Division - Clausura,2008,zonas,,Fecha 5,Diego Armando Maradona,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
2008-03-08,19:20,San Martín (SJ),Gimnasia y Esgrima (LP),1,1,,,Primera Division - Clausura,2008,zonas,,Fecha 5,Ingeniero Hilario Sánchez,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
2008-03-08,21:30,Tigre,Olimpo,2,0,,,Primera Division - Clausura,2008,zonas,,Fecha 5,Monumental de Victoria,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
2008-03-08,21:30,Vélez Sarsfield,Newell's Old Boys,1,0,,,Primera Division - Clausura,2008,zonas,,Fecha 5,José Amalfitani,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
2008-03-09,17:10,Boca Juniors,Independiente,1,1,,,Primera Division - Clausura,2008,zonas,,Fecha 5,La Bombonera,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
2008-03-09,19:30,Arsenal,Gimnasia y Esgrima (J),3,3,,,Primera Division - Clausura,2008,zonas,,Fecha 5,El Viaducto,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
2008-03-09,19:30,Estudiantes (LP),River Plate,0,0,,,Primera Division - Clausura,2008,zonas,,Fecha 5,Ciudad de La Plata,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
2008-03-14,19:00,Olimpo,Rosario Central,1,3,,,Primera Division - Clausura,2008,zonas,,Fecha 6,Roberto N. Carminatti,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
2008-03-14,21:15,Estudiantes (LP),San Martín (SJ),3,2,,,Primera Division - Clausura,2008,zonas,,Fecha 6,Ciudad de La Plata,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2008_(Argentina)
