date,time,home_team,away_team,home_score,away_score,home_pens,away_pens,tournament,season,phase,group,matchday,venue,neutral,source
2013-02-08,19:10,Unión,Arsenal,1,1,,,Primera Division - Final,2013,zonas,,Fecha 1,15 de abril,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Final_2013_(Argentina)
2013-02-08,21:30,Argentinos Juniors,Vélez Sarsfield,0,1,,,Primera Division - Final,2013,zonas,,Fecha 1,Diego Armando Maradona,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Final_2013_(Argentina)
2013-02-09,17:00,Estudiantes (LP),Tigre,1,3,,,Primera Division - Final,2013,zonas,,Fecha 1,Ciudad de La Plata,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Final_2013_(Argentina)
2013-02-09,17:10,All Boys,Godoy Cruz,1,1,,,Primera Division - Final,2013,zonas,,Fecha 1,Islas Malvinas,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Final_2013_(Argentina)
2013-02-09,19:15,Boca Juniors,Quilmes,3,2,,,Primera Division - Final,2013,zonas,,Fecha 1,La Bombonera,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Final_2013_(Argentina)
2013-02-09,21:30,San Martín (SJ),San Lorenzo,0,0,,,Primera Division - Final,2013,zonas,,Fecha 1,Ingeniero Hilario Sánchez,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Final_2013_(Argentina)
2013-02-10,18:00,Atlético de Rafaela,Racing Club,3,0,,,Primera Division - Final,2013,zonas,,Fecha 1,Nuevo Monumental,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Final_2013_(Argentina)
2013-02-10,18:00,Independiente,Newell's Old Boys,1,3,,,Primera Division - Final,2013,zonas,,Fecha 1,Libertadores de América,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Final_2013_(Argentina)
2013-02-10,20:15,Belgrano,River Plate,1,2,,,Primera Division - Final,2013,zonas,,Fecha 1,Mario Alberto Kempes,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Final_2013_(Argentina)
2013-02-11,20:15,Lanús,Colón,4,0,,,Primera Division - Final,2013,zonas,,Fecha 1,Ciudad de Lanús,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Final_2013_(Argentina)
2013-02-15,21:15,Racing Club,Argentinos Juniors,2,0,,,Primera Division - Final,2013,zonas,,Fecha 2,El Cilindro,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Final_2013_(Argentina)
2013-02-16,17:00,Godoy Cruz,Unión,2,1,,,Primera Division - Final,2013,zonas,,Fecha 2,Malvinas Argentinas,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Final_2013_(Argentina)
2013-02-16,17:10,San Lorenzo,Belgrano,0,0,,,Primera Division - Final,2013,zonas,,Fecha 2,Nuevo Gasómetro,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Final_2013_(Argentina)
2013-02-16,19:15,Colón,San Martín (SJ),1,1,,,Primera Division - Final,2013,zonas,,Fecha 2,Brigadier Estanislao López,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Final_2013_(Argentina)
2013-02-16,20:15,Vélez Sarsfield,Independiente,0,1,,,Primera Division - Final,2013,zonas,,Fecha 2,José Amalfitani,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Final_2013_(Argentina)
2013-02-17,17:00,Tigre,Boca Juniors,0,0,,,Primera Division - Final,2013,zonas,,Fecha 2,Monumental de Victoria,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Final_2013_(Argentina)
2013-02-17,17:10,Quilmes,All Boys,2,1,,,Primera Division - Final,2013,zonas,,Fecha 2,Centenario,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Final_2013_(Argentina)
2013-02-17,18:00,Newell's Old Boys,Lanús,0,3,,,Primera Division - Final,2013,zonas,,Fecha 2,Marcelo Bielsa,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Final_2013_(Argentina)
2013-02-17,20:15,River Plate,Estudiantes (LP),1,0,,,Primera Division - Final,2013,zonas,,Fecha 2,Monumental,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Final_2013_(Argentina)
2013-02-18,19:10,Arsenal,Atlético de Rafaela,0,0,,,Primera Division - Final,2013,zonas,,Fecha 2,El Viaducto,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Final_2013_(Argentina)
2013-02-22,19:10,Argentinos Juniors,Arsenal,1,2,,,Primera Division - Final,2013,zonas,,Fecha 3,Diego Armando Maradona,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Final_2013_(Argentina)
2013-02-22,21:15,Estudiantes (LP),San Lorenzo,1,1,,,Primera Division - Final,2013,zonas,,Fecha 3,Ciudad de La Plata,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Final_2013_(Argentina)
2013-02-23,17:10,Unión,Quilmes,0,3,,,Primera Division - Final,2013,zonas,,Fecha 3,15 de abril,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Final_2013_(Argentina)
2013-02-23,19:15,All Boys,Boca Juniors,2,0,,,Primera Division - Final,2013,zonas,,Fecha 3,Islas Malvinas,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Final_2013_(Argentina)
2013-02-23,20:15,Lanús,Vélez Sarsfield,1,0,,,Primera Division - Final,2013,zonas,,Fecha 3,Ciudad de Lanús,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Final_2013_(Argentina)
2013-02-24,17:00,Atlético de Rafaela,Godoy Cruz,1,2,,,Primera Division - Final,2013,zonas,,Fecha 3,Nuevo Monumental,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Final_2013_(Argentina)
2013-02-24,17:00,Independiente,Racing Club,2,0,,,Primera Division - Final,2013,zonas,,Fecha 3,Libertadores de América,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Final_2013_(Argentina)
2013-02-24,18:00,Belgrano,Colón,2,1,,,Primera Division - Final,2013,zonas,,Fecha 3,Mario Alberto Kempes,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Final_2013_(Argentina)
2013-02-24,20:15,River Plate,Tigre,3,2,,,Primera Division - Final,2013,zonas,,Fecha 3,Monumental,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Final_2013_(Argentina)
2013-02-25,22:15,San Martín (SJ),Newell's Old Boys,1,1,,,Primera Division - Final,2013,zonas,,Fecha 3,Ingeniero Hilario Sánchez,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Final_2013_(Argentina)
2013-03-01,19:10,Quilmes,Atlético de Rafaela,3,3,,,Primera Division - Final,2013,zonas,,Fecha 4,Centenario,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Final_2013_(Argentina)
2013-03-01,21:15,Newell's Old Boys,Belgrano,2,0,,,Primera Division - Final,2013,zonas,,Fecha 4,Marcelo Bielsa,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Final_2013_(Argentina)
2013-03-02,17:00,Colón,Estudiantes (LP),3,3,,,Primera Division - Final,2013,zonas,,Fecha 4,Brigadier Estanislao López,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Final_2013_(Argentina)
2013-03-02,20:15,Arsenal,Independiente,1,0,,,Primera Division - Final,2013,zonas,,Fecha 4,El Viaducto,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Final_2013_(Argentina)
2013-03-03,17:00,Godoy Cruz,Argentinos Juniors,0,0,,,Primera Division - Final,2013,zonas,,Fecha 4,Malvinas Argentinas,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Final_2013_(Argentina)
2013-03-03,17:00,San Lorenzo,River Plate,2,0,,,Primera Division - Final,2013,zonas,,Fecha 4,Nuevo Gasómetro,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Final_2013_(Argentina)
2013-03-03,17:00,Tigre,All Boys,2,1,,,Primera Division - Final,2013,zonas,,Fecha 4,Monumental de Victoria,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Final_2013_(Argentina)
2013-03-03,19:10,Racing Club,Lanús,0,0,,,Primera Division - Final,2013,zonas,,Fecha 4,El Cilindro,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Final_2013_(Argentina)
2013-03-03,20:15,Boca Juniors,Unión,1,3,,,Primera Division - Final,2013,zonas,,Fecha 4,La Bombonera,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Final_2013_(Argentina)
2013-03-04,21:15,Vélez Sarsfield,San Martín (SJ),3,0,,,Primera Division - Final,2013,zonas,,Fecha 4,José Amalfitani,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Final_2013_(Argentina)
2013-03-08,19:10,Belgrano,Vélez Sarsfield,1,0,,,Primera Division - Final,2013,zonas,,Fecha 5,Mario Alberto Kempes,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Final_2013_(Argentina)
2013-03-08,21:15,Independiente,Godoy Cruz,0,1,,,Primera Division - Final,2013,zonas,,Fecha 5,Libertadores de América,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Final_2013_(Argentina)
