date,time,home_team,away_team,home_score,away_score,home_pens,away_pens,tournament,season,phase,group,matchday,venue,neutral,source
2009-02-06,19:00,Tigre,San Lorenzo,1,3,,,Primera Division - Clausura,2009,zonas,,Fecha 1,Monumental de Victoria,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2009_(Argentina)
2009-02-06,21:00,Huracán,San Martín (T),1,0,,,Primera Division - Clausura,2009,zonas,,Fecha 1,Tomás A. Ducó,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2009_(Argentina)
2009-02-07,17:10,Argentinos Juniors,Arsenal,0,2,,,Primera Division - Clausura,2009,zonas,,Fecha 1,Diego Armando Maradona,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2009_(Argentina)
2009-02-07,17:10,Newell's Old Boys,Gimnasia y Esgrima (LP),3,0,,,Primera Division - Clausura,2009,zonas,,Fecha 1,Coloso del Parque,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2009_(Argentina)
2009-02-07,19:20,Godoy Cruz,Banfield,1,1,,,Primera Division - Clausura,2009,zonas,,Fecha 1,Malvinas Argentinas,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2009_(Argentina)
2009-02-07,21:30,Estudiantes (LP),Rosario Central,0,0,,,Primera Division - Clausura,2009,zonas,,Fecha 1,Ciudad de La Plata,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2009_(Argentina)
2009-02-07,21:30,Lanús,Racing Club,3,1,,,Primera Division - Clausura,2009,zonas,,Fecha 1,Ciudad de Lanús,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2009_(Argentina)
2009-02-08,17:10,Independiente,Vélez Sarsfield,0,0,,,Primera Division - Clausura,2009,zonas,,Fecha 1,Tomás A. Ducó,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2009_(Argentina)
2009-02-08,17:10,River Plate,Colón,2,2,,,Primera Division - Clausura,2009,zonas,,Fecha 1,Monumental,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2009_(Argentina)
2009-02-08,19:30,Gimnasia y Esgrima (J),Boca Juniors,1,2,,,Primera Division - Clausura,2009,zonas,,Fecha 1,23 de Agosto,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2009_(Argentina)
2009-02-13,19:00,Racing Club,Huracán,1,4,,,Primera Division - Clausura,2009,zonas,,Fecha 2,El Cilindro,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2009_(Argentina)
2009-02-13,21:15,Colón,Gimnasia y Esgrima (J),1,0,,,Primera Division - Clausura,2009,zonas,,Fecha 2,Brigadier Estanislao López,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2009_(Argentina)
2009-02-14,17:10,Boca Juniors,Newell's Old Boys,0,2,,,Primera Division - Clausura,2009,zonas,,Fecha 2,La Bombonera,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2009_(Argentina)
2009-02-14,17:10,Vélez Sarsfield,Argentinos Juniors,1,1,,,Primera Division - Clausura,2009,zonas,,Fecha 2,José Amalfitani,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2009_(Argentina)
2009-02-14,19:20,Banfield,Estudiantes (LP),1,0,,,Primera Division - Clausura,2009,zonas,,Fecha 2,Florencio Sola,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2009_(Argentina)
